Step,X,Y,Z,Species
0,37.995,4.47,2.235,FSDEE
0,35.76,6.705,2.235,FSDEE
0,37.995,4.47,0,FSDEE
0,35.76,6.705,0,FSDEE
0,35.76,4.47,2.235,FSDEE
0,39.1125,5.5875,1.1175,FSDEE
0,36.8775,5.5875,3.3525,LiFSI
0,39.1125,5.5875,3.3525,FSDEE
0,36.8775,7.8225,3.3525,FSDEE
0,40.23,4.47,0,Li_Metal
0,42.465,6.705,2.235,Li_Metal
0,42.465,6.705,0,FSDEE
0,40.23,6.705,2.235,FSDEE
0,42.465,4.47,0,LiFSI
0,40.23,6.705,0,LiFSI
0,40.23,4.47,2.235,FSDEE
0,41.3475,5.5875,1.1175,FSDEE
0,43.5825,5.5875,1.1175,LiFSI
0,41.3475,7.8225,1.1175,FSDEE
0,41.3475,5.5875,3.3525,FSDEE
0,43.5825,7.8225,1.1175,FSDEE
0,41.3475,7.8225,3.3525,FSDEE
0,43.5825,7.8225,3.3525,FSDEE
0,0,8.94,0,Li_Metal
0,2.235,11.175,2.235,Li_Metal
0,2.235,11.175,0,LiFSI
0,2.235,8.94,2.235,FSDEE
0,2.235,8.94,0,FSDEE
0,0,11.175,0,FSDEE
0,0,8.94,2.235,FSDEE
0,3.3525,10.0575,1.1175,FSDEE
0,1.1175,10.0575,3.3525,FSDEE
0,3.3525,12.2925,1.1175,FSDEE
0,3.3525,10.0575,3.3525,FSDEE
0,3.3525,12.2925,3.3525,LiFSI
0,4.47,8.94,0,Li_Metal
0,6.705,11.175,2.235,Li_Metal
0,6.705,11.175,0,FSDEE
0,6.705,8.94,2.235,FSDEE
0,6.705,8.94,0,FSDEE
0,7.8225,10.0575,1.1175,FSDEE
0,5.5875,12.2925,1.1175,FSDEE
0,5.5875,10.0575,3.3525,FSDEE
0,7.8225,10.0575,3.3525,FSDEE
0,5.5875,12.2925,3.3525,FSDEE
0,7.8225,12.2925,3.3525,LiFSI
0,8.94,8.94,0,Li_Metal
0,11.175,11.175,2.235,Li_Metal
0,11.175,11.175,0,FSDEE
0,8.94,11.175,2.235,LiFSI
0,11.175,8.94,0,FSDEE
0,8.94,11.175,0,FSDEE
0,8.94,8.94,2.235,FSDEE
0,10.0575,10.0575,1.1175,FSDEE
0,12.2925,10.0575,1.1175,FSDEE
0,10.0575,12.2925,1.1175,LiFSI
0,10.0575,10.0575,3.3525,FSDEE
0,10.0575,12.2925,3.3525,LiFSI
0,12.2925,12.2925,3.3525,LiFSI
0,13.41,8.94,0,Li_Metal
0,15.645,11.175,2.235,Li_Metal
0,15.645,11.175,0,FSDEE
0,15.645,8.94,2.235,FSDEE
0,13.41,11.175,2.235,LiFSI
0,15.645,8.94,0,FSDEE
0,13.41,11.175,0,FSDEE
0,13.41,8.94,2.235,FSDEE
0,14.5275,10.0575,1.1175,FSDEE
0,16.7625,10.0575,1.1175,LiFSI
0,14.5275,10.0575,3.3525,FSDEE
0,16.7625,12.2925,1.1175,LiFSI
0,14.5275,12.2925,3.3525,LiFSI
0,17.88,8.94,0,Li_Metal
0,20.115,11.175,2.235,Li_Metal
0,20.115,11.175,0,LiFSI
0,20.115,8.94,2.235,FSDEE
0,17.88,11.175,2.235,LiFSI
0,20.115,8.94,0,FSDEE
0,17.88,11.175,0,FSDEE
0,17.88,8.94,2.235,LiFSI
0,18.9975,10.0575,1.1175,LiFSI
0,21.2325,10.0575,1.1175,LiFSI
0,18.9975,12.2925,1.1175,FSDEE
0,18.9975,10.0575,3.3525,LiFSI
0,21.2325,12.2925,1.1175,FSDEE
0,21.2325,10.0575,3.3525,FSDEE
0,18.9975,12.2925,3.3525,FSDEE
0,21.2325,12.2925,3.3525,FSDEE
0,22.35,8.94,0,Li_Metal
0,24.585,11.175,2.235,Li_Metal
0,22.35,11.175,2.235,FSDEE
0,22.35,11.175,0,FSDEE
0,22.35,8.94,2.235,FSDEE
0,23.4675,10.0575,1.1175,LiFSI
0,23.4675,10.0575,3.3525,FSDEE
0,25.7025,12.2925,1.1175,FSDEE
0,25.7025,10.0575,3.3525,FSDEE
0,23.4675,12.2925,3.3525,FSDEE
0,25.7025,12.2925,3.3525,LiFSI
0,26.82,8.94,0,Li_Metal
0,29.055,11.175,2.235,Li_Metal
0,29.055,11.175,0,FSDEE
0,29.055,8.94,2.235,LiFSI
0,26.82,11.175,2.235,FSDEE
0,29.055,8.94,0,LiFSI
0,26.82,11.175,0,FSDEE
0,27.9375,10.0575,1.1175,FSDEE
0,30.1725,10.0575,1.1175,LiFSI
0,27.9375,12.2925,1.1175,LiFSI
0,30.1725,12.2925,1.1175,FSDEE
0,30.1725,12.2925,3.3525,LiFSI
0,31.29,8.94,0,Li_Metal
0,33.525,11.175,2.235,Li_Metal
0,33.525,11.175,0,FSDEE
0,33.525,8.94,2.235,LiFSI
0,31.29,11.175,2.235,FSDEE
0,33.525,8.94,0,FSDEE
0,31.29,11.175,0,FSDEE
0,31.29,8.94,2.235,FSDEE
0,32.4075,10.0575,1.1175,FSDEE
0,32.4075,10.0575,3.3525,FSDEE
0,34.6425,12.2925,1.1175,FSDEE
0,32.4075,12.2925,3.3525,FSDEE
0,34.6425,12.2925,3.3525,FSDEE
0,35.76,8.94,0,Li_Metal
0,37.995,11.175,2.235,Li_Metal
0,37.995,11.175,0,FSDEE
0,37.995,8.94,2.235,FSDEE
0,35.76,11.175,2.235,FSDEE
0,35.76,11.175,0,FSDEE
0,35.76,8.94,2.235,LiFSI
0,36.8775,10.0575,1.1175,FSDEE
0,39.1125,10.0575,1.1175,FSDEE
0,36.8775,12.2925,1.1175,FSDEE
0,36.8775,10.0575,3.3525,FSDEE
0,39.1125,12.2925,1.1175,FSDEE
0,39.1125,10.0575,3.3525,FSDEE
0,36.8775,12.2925,3.3525,FSDEE
0,40.23,8.94,0,Li_Metal
0,42.465,11.175,2.235,Li_Metal
0,42.465,11.175,0,FSDEE
0,42.465,8.94,2.235,FSDEE
0,40.23,11.175,2.235,FSDEE
0,42.465,8.94,0,FSDEE
0,40.23,11.175,0,FSDEE
0,40.23,8.94,2.235,FSDEE
0,41.3475,10.0575,1.1175,FSDEE
0,43.5825,10.0575,1.1175,FSDEE
0,41.3475,12.2925,1.1175,FSDEE
0,41.3475,10.0575,3.3525,LiFSI
0,43.5825,12.2925,1.1175,FSDEE
0,43.5825,10.0575,3.3525,FSDEE
0,41.3475,12.2925,3.3525,FSDEE
0,43.5825,12.2925,3.3525,FSDEE
0,0,13.41,0,Li_Metal
0,2.235,15.645,2.235,Li_Metal
0,2.235,15.645,0,FSDEE
0,2.235,13.41,2.235,FSDEE
0,0,15.645,2.235,FSDEE
0,2.235,13.41,0,FSDEE
0,0,15.645,0,LiFSI
0,0,13.41,2.235,FSDEE
0,1.1175,14.5275,1.1175,FSDEE
0,3.3525,14.5275,1.1175,FSDEE
0,1.1175,14.5275,3.3525,FSDEE
0,3.3525,16.7625,1.1175,FSDEE
0,3.3525,14.5275,3.3525,FSDEE
0,1.1175,16.7625,3.3525,LiFSI
0,3.3525,16.7625,3.3525,FSDEE
0,4.47,13.41,0,Li_Metal
0,6.705,15.645,2.235,Li_Metal
0,6.705,15.645,0,FSDEE
0,6.705,13.41,2.235,FSDEE
0,6.705,13.41,0,FSDEE
0,4.47,15.645,0,FSDEE
0,4.47,13.41,2.235,LiFSI
0,5.5875,14.5275,1.1175,FSDEE
0,7.8225,14.5275,1.1175,FSDEE
0,5.5875,16.7625,1.1175,FSDEE
0,5.5875,14.5275,3.3525,LiFSI
0,7.8225,14.5275,3.3525,FSDEE
0,5.5875,16.7625,3.3525,FSDEE
0,8.94,13.41,0,Li_Metal
0,11.175,15.645,2.235,Li_Metal
0,11.175,15.645,0,FSDEE
0,11.175,13.41,2.235,FSDEE
0,8.94,15.645,2.235,FSDEE
0,11.175,13.41,0,LiFSI
0,8.94,13.41,2.235,FSDEE
0,10.0575,14.5275,1.1175,FSDEE
0,12.2925,14.5275,1.1175,FSDEE
0,10.0575,16.7625,1.1175,FSDEE
0,10.0575,14.5275,3.3525,LiFSI
0,10.0575,16.7625,3.3525,FSDEE
0,12.2925,16.7625,3.3525,LiFSI
0,13.41,13.41,0,Li_Metal
0,15.645,15.645,2.235,Li_Metal
0,15.645,15.645,0,FSDEE
0,13.41,15.645,2.235,FSDEE
0,15.645,13.41,0,FSDEE
0,13.41,15.645,0,LiFSI
0,13.41,13.41,2.235,FSDEE
0,14.5275,14.5275,1.1175,FSDEE
0,16.7625,16.7625,1.1175,FSDEE
0,16.7625,14.5275,3.3525,FSDEE
0,16.7625,16.7625,3.3525,FSDEE
0,17.88,13.41,0,Li_Metal
0,20.115,15.645,2.235,Li_Metal
0,20.115,15.645,0,FSDEE
0,20.115,13.41,2.235,FSDEE
0,17.88,15.645,0,FSDEE
0,17.88,13.41,2.235,FSDEE
0,18.9975,14.5275,1.1175,FSDEE
0,21.2325,14.5275,1.1175,LiFSI
0,18.9975,16.7625,1.1175,FSDEE
0,18.9975,14.5275,3.3525,FSDEE
0,21.2325,16.7625,1.1175,LiFSI
0,21.2325,14.5275,3.3525,LiFSI
0,18.9975,16.7625,3.3525,LiFSI
0,21.2325,16.7625,3.3525,FSDEE
0,22.35,13.41,0,Li_Metal
0,24.585,15.645,2.235,Li_Metal
0,24.585,15.645,0,LiFSI
0,24.585,13.41,2.235,LiFSI
0,22.35,15.645,2.235,FSDEE
0,24.585,13.41,0,FSDEE
0,22.35,15.645,0,FSDEE
0,23.4675,14.5275,1.1175,FSDEE
0,25.7025,14.5275,1.1175,FSDEE
0,23.4675,16.7625,1.1175,FSDEE
0,23.4675,14.5275,3.3525,FSDEE
0,25.7025,16.7625,1.1175,FSDEE
0,23.4675,16.7625,3.3525,LiFSI
0,25.7025,16.7625,3.3525,FSDEE
0,26.82,13.41,0,Li_Metal
0,29.055,15.645,2.235,Li_Metal
0,29.055,15.645,0,LiFSI
0,29.055,13.41,2.235,FSDEE
0,26.82,15.645,2.235,FSDEE
0,29.055,13.41,0,LiFSI
0,26.82,15.645,0,FSDEE
0,26.82,13.41,2.235,FSDEE
0,27.9375,14.5275,1.1175,FSDEE
